date,equity,cash,open_alloc,n_open,strategy
2023-01-03,200000.0,200000.0,0.0,0,BASELINE_TECNICO_ALL
2023-01-04,200000.0,10000.0,190000.0,19,BASELINE_TECNICO_ALL
2023-01-05,199581.7835630609,19581.78356306089,180000.0,18,BASELINE_TECNICO_ALL
2023-01-06,199581.7835630609,0.0,199581.7835630609,20,BASELINE_TECNICO_ALL
2023-02-13,199302.03074933653,9720.247186275636,189581.7835630609,19,BASELINE_TECNICO_ALL
2023-02-14,199165.06381213508,49863.033062798546,149302.03074933653,15,BASELINE_TECNICO_ALL
2023-02-15,199369.4666056268,30067.435856290263,169302.03074933653,17,BASELINE_TECNICO_ALL
2023-02-16,199146.60141976734,10053.304717397094,189093.29670237025,19,BASELINE_TECNICO_ALL
2023-02-17,199146.60141976734,95.9746464087275,199050.6267733586,20,BASELINE_TECNICO_ALL
2023-02-21,198180.80408785795,39088.430505106066,159092.3735827519,16,BASELINE_TECNICO_ALL
2023-02-22,198180.80408785795,19270.350096320268,178910.45399153768,18,BASELINE_TECNICO_ALL
2023-02-23,198180.80408785795,9361.30989192737,188819.49419593057,19,BASELINE_TECNICO_ALL
2023-02-27,197787.1096340335,18687.862624378547,179099.24700965494,18,BASELINE_TECNICO_ALL
2023-02-28,197787.1096340335,0.0,197787.1096340335,20,BASELINE_TECNICO_ALL
2023-03-01,197010.52107896682,19132.45164932622,177878.0694296406,18,BASELINE_TECNICO_ALL
2023-03-07,196649.47292989105,9596.281921912596,187053.19100797846,19,BASELINE_TECNICO_ALL
2023-03-08,196411.59708684674,8560.63129963256,187850.96578721417,19,BASELINE_TECNICO_ALL
2023-03-09,194685.62877009262,58190.5380644594,136495.09070563322,14,BASELINE_TECNICO_ALL
2023-03-10,194169.21463235957,67632.3771173331,126536.83751502648,13,BASELINE_TECNICO_ALL
2023-03-13,191795.29277211294,85018.02151542768,106777.27125668524,11,BASELINE_TECNICO_ALL
2023-03-15,189863.95454802585,92682.96521325322,97180.98933477265,10,BASELINE_TECNICO_ALL
2023-03-17,197033.23874393306,30621.64165708633,166411.59708684674,17,BASELINE_TECNICO_ALL
2023-03-20,189863.9545480259,45216.97657624677,144646.97797177912,15,BASELINE_TECNICO_ALL
2023-03-21,189863.95454802594,7244.185666641586,182619.76888138434,19,BASELINE_TECNICO_ALL
2023-03-23,189863.95454802594,0.0,189863.95454802594,20,BASELINE_TECNICO_ALL
2023-03-28,189658.3027566192,9397.042593501139,180261.26016311807,19,BASELINE_TECNICO_ALL
2023-03-30,189658.3027566192,0.0,189658.3027566192,20,BASELINE_TECNICO_ALL
2023-04-14,188318.21449477458,8549.267219857062,179768.94727491753,19,BASELINE_TECNICO_ALL
2023-04-21,188336.6374312772,9511.62066390391,178825.01676737328,19,BASELINE_TECNICO_ALL
2023-04-24,187572.24873610825,19197.693492170794,168374.55524393744,18,BASELINE_TECNICO_ALL
2023-04-25,187382.99131748674,9744.408927339775,177638.58239014697,19,BASELINE_TECNICO_ALL
2023-04-27,188386.74746533533,11379.015509313997,177007.73195602134,19,BASELINE_TECNICO_ALL
2023-05-01,191829.94332064944,25402.87399136134,166427.0693292881,18,BASELINE_TECNICO_ALL
2023-05-02,191136.68854195686,24998.91178615814,166137.77675579872,18,BASELINE_TECNICO_ALL
2023-05-15,191213.72655470725,15455.478672114115,175758.24788259313,19,BASELINE_TECNICO_ALL
2023-05-16,190931.0551214124,15203.618077116374,175727.43704429604,19,BASELINE_TECNICO_ALL
2023-05-25,190232.7524739343,14337.375110373034,175895.37736356125,19,BASELINE_TECNICO_ALL
2023-06-06,190213.08895268023,14175.223531296637,176037.8654213836,19,BASELINE_TECNICO_ALL
2023-06-14,190407.9608675808,14141.366593941077,176266.59427363973,19,BASELINE_TECNICO_ALL
2023-07-03,193240.7141721609,16014.353154774704,177226.3610173862,19,BASELINE_TECNICO_ALL
2023-07-05,193240.7141721609,6352.31744616666,186888.39672599424,20,BASELINE_TECNICO_ALL
2023-07-07,193578.59563925842,16109.536286530965,177469.05935272746,19,BASELINE_TECNICO_ALL
2023-07-14,195412.79054637448,27251.196866486658,168161.59367988782,18,BASELINE_TECNICO_ALL
2023-07-17,202697.4765058546,43474.19695353319,159223.27955232142,17,BASELINE_TECNICO_ALL
2023-07-19,203901.77749083866,21518.06212928061,182383.71536155805,19,BASELINE_TECNICO_ALL
2023-07-26,205505.5629573286,22323.801314729753,183181.76164259884,19,BASELINE_TECNICO_ALL
2023-08-03,205344.03422472792,21443.828861360515,183900.2053633674,19,BASELINE_TECNICO_ALL
2023-08-09,208722.15410935218,23104.014254605478,185618.1398547467,19,BASELINE_TECNICO_ALL
2023-08-10,208067.29619228642,31186.721964376877,176880.57422790953,18,BASELINE_TECNICO_ALL
2023-08-14,206342.94839200686,18790.51837016143,187552.43002184542,19,BASELINE_TECNICO_ALL
2023-08-16,207611.8444744434,19159.0989045615,188452.74556988192,19,BASELINE_TECNICO_ALL
2023-08-17,207597.66321515295,27913.57738567299,179684.08582947997,18,BASELINE_TECNICO_ALL
2023-08-24,208311.50632867182,17459.151343708996,190852.35498496282,19,BASELINE_TECNICO_ALL
2023-08-25,210919.5588334702,29624.038275605213,181295.52055786498,18,BASELINE_TECNICO_ALL
2023-09-05,210297.67751740024,27784.21973269312,182513.45778470713,18,BASELINE_TECNICO_ALL
2023-09-06,209794.12392534452,16796.876330570907,192997.24759477362,19,BASELINE_TECNICO_ALL
2023-09-08,214355.83481220942,20429.56734890394,193926.26746330547,19,BASELINE_TECNICO_ALL
2023-09-11,216075.6330764897,20978.126628644382,195097.5064478453,19,BASELINE_TECNICO_ALL
2023-09-12,214386.94811096948,28140.931877971445,186246.01623299802,18,BASELINE_TECNICO_ALL
2023-09-19,213471.7588384731,26571.004827714594,186900.7540107585,18,BASELINE_TECNICO_ALL
2023-09-20,213403.68343218614,15422.95524881674,197980.7281833694,19,BASELINE_TECNICO_ALL
2023-09-21,212680.89892345725,24604.407749621732,188076.49117383553,18,BASELINE_TECNICO_ALL
2023-09-25,212680.89892345725,3336.317857276008,209344.58106618124,20,BASELINE_TECNICO_ALL
2023-09-28,212413.01175126288,13614.408626755132,198798.60312450773,19,BASELINE_TECNICO_ALL
2023-09-29,213187.90609550447,13279.30683106759,199908.59926443687,19,BASELINE_TECNICO_ALL
2023-10-02,212598.91009178202,33740.37815971212,178858.5319320699,17,BASELINE_TECNICO_ALL
2023-10-04,210285.62872869358,52139.523054205,158146.1056744886,15,BASELINE_TECNICO_ALL
2023-10-09,210285.62872869358,41625.24161777032,168660.38711092327,16,BASELINE_TECNICO_ALL
2023-10-10,210285.62872869358,31110.960181335642,179174.66854735796,17,BASELINE_TECNICO_ALL
2023-10-11,210285.6287286936,0.0,210285.6287286936,20,BASELINE_TECNICO_ALL
2023-10-12,207727.03683897803,29296.289979266025,178430.746859712,17,BASELINE_TECNICO_ALL
2023-10-13,207737.75360257848,29356.76260638518,178380.9909961933,17,BASELINE_TECNICO_ALL
2023-10-16,207737.75360257845,0.0,207737.75360257845,20,BASELINE_TECNICO_ALL
2023-10-19,205835.61389224115,40075.89169175748,165759.72220048367,16,BASELINE_TECNICO_ALL
2023-10-20,205412.01716439828,48235.28221004193,157176.73495435633,15,BASELINE_TECNICO_ALL
2023-10-23,205412.01716439825,37964.681351822015,167447.33581257623,16,BASELINE_TECNICO_ALL
2023-10-24,201435.55939058214,86640.77966081651,114794.77972976564,11,BASELINE_TECNICO_ALL
2023-10-25,202156.34808686742,77090.96749888189,125065.38058798555,12,BASELINE_TECNICO_ALL
2023-10-26,204675.63265083916,47947.64424381136,156727.9884070278,15,BASELINE_TECNICO_ALL
2023-10-27,204186.26207636387,58092.318615508935,146093.94346085493,14,BASELINE_TECNICO_ALL
2023-10-30,201435.55939058214,76569.0016912874,124866.55769929475,12,BASELINE_TECNICO_ALL
2023-11-02,201435.55939058214,66497.22372175829,134938.33566882386,13,BASELINE_TECNICO_ALL
2023-11-03,201435.5593905821,36281.88981317096,165153.66957741114,16,BASELINE_TECNICO_ALL
2023-11-06,200641.21087615343,45867.42445949993,154773.7864166535,15,BASELINE_TECNICO_ALL
2023-11-07,200641.2108761534,25803.303371884587,174837.9075042688,17,BASELINE_TECNICO_ALL
2023-11-08,200641.21087615337,5739.182284269247,194902.02859188413,19,BASELINE_TECNICO_ALL
2023-11-09,200641.21087615337,0.0,200641.21087615337,20,BASELINE_TECNICO_ALL
2023-11-15,199507.03628815475,8937.603381530462,190569.43290662428,19,BASELINE_TECNICO_ALL
2023-11-29,198852.29638665874,9859.541534938617,188992.75485172012,19,BASELINE_TECNICO_ALL
